nombre_original,nombre_normalizado,id,presentacion,tolerancia,match_catalogo,marca_catalogo,categoria_catalogo,precio_ref_catalogo,score,estatus
"ADEREZO TIPO CESAR, BOTELLA CON 710 ML CON TOLERANCIA DE +/-10%",ADEREZO CESAR,INS-5AABEAC584,710 ml,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,100,YA_EN_CATALOGO
"ADEREZO TIPO ITALIANA, BOTELLA CON 710 ML CON TOLERANCIA DE +/- 10%",ADEREZO ITALIANA,INS-638C727F5B,710 ml,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,62,REVISAR
"ADEREZO TIPO MIL ISLAS, BOTELLA CON 710 ML CON TOLERANCIA DE +/- 10%",ADEREZO MIL ISLAS,INS-153A77D385,710 ml,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,65,REVISAR
"ADEREZO TIPO MOSTAZA CON MIEL, BOTELLA CON 710 ML CON TOLERANCIA DE +/-10%",ADEREZO MOSTAZA MIEL,INS-E2C4AF588A,710 ml,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,74,REVISAR
"ADEREZO TIPO RANCH, BOTELLA CON 710 ML CON TOLERANCIA DE +/-10%",ADEREZO RANCH,INS-2B526F2E68,710 ml,+/-10%,ADEREZO CESAR (710 ML),MEMBERS MARK,ABARROTES,162.14,67,REVISAR
"AGUACATE HASS DE 2DA, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, CASCARA DESCRIPCIÓN COLOR VERDE NEGRUZCO, PULPA DE VERDE EN EL INTERIOR ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO CREMOSO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: PIEL GRANULOSA Y FUERTE PERO FLEXIBLE, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",AGUACATE HASS DA,INS-524AC8AADA,1 kg,,AGUACATE,KG,FRUTAS Y VERDURAS,98.5,92,YA_EN_CATALOGO
"AGUACATE HASS, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, CASCARA COLOR VERDE NEGRUZCO, PULPA DE VERDE EN EL INTERIOR ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO CREMOSO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: PIEL GRANULOSA Y FUERTE PERO FLEXIBLE, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",AGUACATE HASS,INS-3B44CBF55E,1 kg,,AGUACATE,KG,FRUTAS Y VERDURAS,98.5,97,YA_EN_CATALOGO
"AJO EN POLVO, PRESENTACIÓN BOLSA DE 1 KG.",AJO,INS-72100264A9,1 kg,,AJO,KG,FRUTAS Y VERDURAS,234.86,100,YA_EN_CATALOGO
"AJO LIMPIO, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, COLOR BLANCO AMARILLENTO, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO SUAVE, PICANTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",AJO LIMPIO,INS-343A7B5AA8,1 kg,,AJO,KG,FRUTAS Y VERDURAS,234.86,82,YA_EN_CATALOGO
"AJONJOLÍ BLANCO, BOLSA CON UN KILOGRAMO PRIMERA CALIDAD, CON TOLERANCIA DE +/-10%",AJONJOLI KILOGRAMO,INS-0941559A29,,+/-10%,AJONJOLI,A GRANEL,ABARROTES,105.77,90,YA_EN_CATALOGO
"AJONJOLÍ NEGRO, BOLSA CON UN KILOGRAMO PRIMERA CALIDAD, CON TOLERANCIA DE +/-10%",AJONJOLI NEGRO KILOGRAMO,INS-0FC1D295CE,,+/-10%,AJONJOLI NEGRO,A GRANEL,ABARROTES,185.77,96,YA_EN_CATALOGO
"ALACHES, ASPECTO: TALLO TIERNO, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS PEQUEÑAS DE COLOR VERDE OSCURO ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y CRUJIENTE CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE. PRESENTACIÓN EN BOLSA DE 1 KG",ALACHES,INS-BA873FBF55,1 kg,,,,,,55,FALTA_EN_CATALOGO
"ALBAHACA, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE OSCURO ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO DE TEXTURA CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",ALBAHACA,INS-F910379151,1 kg,,ALBAHACA,KG,FRUTAS Y VERDURAS,143.95,100,YA_EN_CATALOGO
"ALCACHOFA BABY, TEMPERATURA: MENOR A 4°C Y MAYOR A 0°C, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE BRILLANTE DE TALLO COLOR VERDE ATRACTIVO Y BIEN PRESENTADO, SABOR: FRESCO DE TEXTURA CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",ALCACHOFA BABY,INS-4AB560608F,1 kg,,,,,,50,FALTA_EN_CATALOGO
"ALCAPARRA EN SALMUERA, FRASCO CON 220 GR Y MASA DRENADA DE 140 GR CON TOLERANCIA DE +/-10%",ALCAPARRA SALMUERA,INS-4DA1AE70A0,220 gr,+/-10%,,,,,37,FALTA_EN_CATALOGO
"ALGA MARINA DESHIDRATADA PARA SUSHI, BOLSA CON 10PZ CON TOLERANCIA DE +/-10%",ALGA MARINA DESHIDRATADA SUSHI PZ,INS-4BBDD7EA7E,10 pz,+/-10%,,,,,57,FALTA_EN_CATALOGO
"ALGA MARINA TOSTADA PARA SUSHI, BOLSA CON 10PZ CON TOLERANCIA DE +/-10%",ALGA MARINA TOSTADA SUSHI PZ,INS-7FD42509D4,10 pz,+/-10%,,,,,60,FALTA_EN_CATALOGO
ALIMENTO EN POLVO FORTIFICADO PARA PREPARAR BEBIDA SABOR A CHOCOLATE 2 KGS TOLERANCIA DE +/-10%,ALIMENTO FORTIFICADO PREPARAR BEBIDA SABOR CHOCOLATE KGS,INS-19F5BAAF9C,2 kgs,+/-10%,ALIMENTO EN POLVO SABOR CHOCOLATE CON COCOA (1.9 KG),CAL-C-TOSE,ABARROTES,473.05,90,YA_EN_CATALOGO
"ALMENDRA EN POLVO, BOLSA CON 1 KG O A GRANEL, DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10% DEBERÁ CUMPLIR CON LA NORMA NOM-187-SSA1-SCF-2002-247-SSA1-2008",ALMENDRA,INS-3F8A81FEE2,1 kg,+/-10%,ALMENDRA CON PIEL,A GRANEL,ABARROTES,362.14,97,YA_EN_CATALOGO
"ALMENDRA ENTERA, TOSTADA Y SIN SAL, BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA NOM-187-SSA1-SCF-2002-247-SSA1-2008",ALMENDRA ENTERA TOSTADA SAL,INS-BE303C79EC,1 kg,+/-10%,ALMENDRA FILETEADA,A GRANEL,ABARROTES,354.86,74,REVISAR
ALMENDRA FILETEADA O ENTERA BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10% DEBERÁ CUMPLIR CON LA NORMA NOM-187-SSA1-SCF-2002-247-SSA1-2008,ALMENDRA FILETEADA ENTERA,INS-24AFE63887,1 kg,+/-10%,ALMENDRA FILETEADA,A GRANEL,ABARROTES,354.86,100,YA_EN_CATALOGO
"ALUBIA, BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10% DEBERÁ CUMPLIR CON LA NORMA NOM-043-SSA2- 2012",ALUBIA,INS-5FD783E163,1 kg,+/-10%,ALUBIAS,A GRANEL,ABARROTES,133.05,100,YA_EN_CATALOGO
"ANCHOAS EN ACEITE, PRESENTACIÓN EN LATA DE 48 GR",ANCHOAS ACEITE,INS-1FA61C6472,48 gr,,,,,,53,FALTA_EN_CATALOGO
"ANÍS DE ESTRELLA, PRESENTACIÓN BOLSA DE 1 KILOGRAMO",ANIS ESTRELLA,INS-3E189956A7,1 kilogramo,,ANIS A GRANEL,SIN MARCA,ABARROTES,580.32,83,YA_EN_CATALOGO
"ANTIOXIDANTE PARA ALIMENTOS, BOTELLA CON 1 L. CON TOLERANCIA DE +/-10%",ANTIOXIDANTE ALIMENTOS,INS-3F8E7781C8,1 l,+/-10%,,,,,35,FALTA_EN_CATALOGO
"APIO, HOJAS SIN INDICIOS DE PLAGA DE COLOR VERDE OSCURO, TALLO BLANCO AMARILLENTO, LIBRE DE MAGULLADURAS Y DAÑOS DESCRIPCIÓN FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO FIBROSO Y CRUJIENTE, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME Y FUERTE PERO FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",APIO,INS-BC975B3829,1 kg,,APIO,KG,FRUTAS Y VERDURAS,69.41,100,YA_EN_CATALOGO
"ARÁNDANO DESHIDRATADO, BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",ARANDANO DESHIDRATADO,INS-12D9890E4B,1 kg,+/-10%,ARANDANO,A GRANEL,ABARROTES,158.5,87,YA_EN_CATALOGO
"ARROZ ARBORIO, BOLSA CON 500 GR CON TOLERANCIA DE +/-10%",ARROZ ARBORIO,INS-615971D8B9,500 gr,+/-10%,ARROZ (1 KG),SOS,ABARROTES,56.68,87,YA_EN_CATALOGO
"ARROZ PARA SUSHI, BOLSA CON 1 KG CON TOLERANCIA DE +/-10%",ARROZ SUSHI,INS-668DCBDFCD,1 kg,+/-10%,ARROZ PARA SUSHI (1 KG),SOS,ABARROTES,122.14,100,YA_EN_CATALOGO
"ARROZ SALVAJE Y ARROZ BLANCO, BOLSA CON 500 GR CON TOLERANCIA DE +/-10%,",ARROZ SALVAJE ARROZ,INS-0D2CB77B93,500 gr,+/-10%,ARROZ (1 KG),SOS,ABARROTES,56.68,80,YA_EN_CATALOGO
"ARROZ SÚPER EXTRA GRUESO, BOLSA CON 1 KG CON TOLERANCIA DE +/- 10%",ARROZ SUPER EXTRA GRUESO,INS-D5706BCC90,1 kg,+/-10%,ARROZ (1 KG),SOS,ABARROTES,56.68,76,REVISAR
"ARUGULA, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS PEQUEÑAS DE COLOR VERDE, ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y CRUJIENTE CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE SUAVE, SIN TALLO, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 500 GR.",ARUGULA,INS-157652CEE0,500 gr,,ARUGULA,KG,FRUTAS Y VERDURAS,543.95,100,YA_EN_CATALOGO
"ATE DE MEMBRILLO, EN PRESENTACIÓN 400 GRAMOS DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",ATE MEMBRILLO,INS-98FF218B24,400 gramos,+/-10%,ATE ROJO,A GRANEL,ABARROTES,127.59,69,REVISAR
"ATE DE MEMBRILLO, EN PRESENTACIÓN EN LATA DE 700 GR, DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%,",ATE MEMBRILLO,INS-2AF508394E,700 gr,+/-10%,ATE ROJO,A GRANEL,ABARROTES,127.59,69,REVISAR
"ATÚN EN ACEITE, LATA CON 140 GR A 295 GR CON TOLERANCIA DE +/-10%",ATUN ACEITE,INS-6D8F2D5371,140 gr,+/-10%,,,,,58,FALTA_EN_CATALOGO
"ATÚN EN AGUA, LATA DE 1.88 KG CON TOLERANCIA DE +/-10%",ATUN AGUA,INS-D13FEEAF77,1.88 kg,+/-10%,ATUN EN AGUA (1.88 KG),TUNY,ABARROTES,385.77,100,YA_EN_CATALOGO
"ATÚN EN AGUA, LATA CON 140 GR A 295 CON TOLERANCIA DE +/-10%",ATUN AGUA,INS-3F05D74480,140 gr,+/-10%,ATUN EN AGUA (1.88 KG),TUNY,ABARROTES,385.77,100,YA_EN_CATALOGO
"AVELLANA ENTERA SIN CASCARA, BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",AVELLANA ENTERA CASCARA,INS-E56A4D73EA,1 kg,+/-10%,,,,,52,FALTA_EN_CATALOGO
"AVENA CRUDA, BOLSA CON 1 KG O A GRANEL PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",AVENA CRUDA,INS-A941AF7E51,1 kg,+/-10%,AVENA,A GRANEL,ABARROTES,33.05,90,YA_EN_CATALOGO
"AVENA INSTANTÁNEA, BOLSA CON 360 GR, PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",AVENA INSTANTANEA,INS-FF411C38B8,360 gr,+/-10%,AVENA,A GRANEL,ABARROTES,33.05,82,YA_EN_CATALOGO
"AZAFRÁN PURO, FRASCO CON 2GR CON TOLERANCIA DE +/-10%",AZAFRAN PURO,INS-ACDE45FE1F,2 gr,+/-10%,,,,,60,FALTA_EN_CATALOGO
"AZÚCAR ESTÁNDAR, BOLSA CON 1 KG CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR ESTANDAR,INS-09369D424E,1 kg,+/-10%,AZUCAR ESTANDAR (1 KG),ZULKA,ABARROTES,34.86,100,YA_EN_CATALOGO
"AZÚCAR ESTÁNDAR, PRESENTACIÓN DE 25 KG CON TOLERANCIA DE +/- 10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR ESTANDAR,INS-420DBA777D,25 kg,+/-10%,AZUCAR ESTANDAR (1 KG),ZULKA,ABARROTES,34.86,100,YA_EN_CATALOGO
"AZÚCAR ESTÁNDAR, PRESENTACIÓN DE 50 KG CON TOLERANCIA DE +/- 10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR ESTANDAR,INS-FEE5871E35,50 kg,+/-10%,AZUCAR ESTANDAR (1 KG),ZULKA,ABARROTES,34.86,100,YA_EN_CATALOGO
"AZÚCAR GLASS EN POLVO, BOLSA CON 500 GR CON TOLERANCIA DE +/- 10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR GLASS,INS-6D4127D7B6,500 gr,+/-10%,AZUCAR GLASS,A GRANEL,ABARROTES,80.32,100,YA_EN_CATALOGO
"AZÚCAR MASCABADO OLOR, EL CARACTERÍSTICO DEL AZÚCAR, SIN PRESENTAR OLOR A HUMEDAD, FUMIGANTES U OTROS OLORES EXTRAÑOS. SABOR, DULCE CARACTERÍSTICO, SIN OTROS SABORES EXTRAÑOS. ASPECTO FÍSICO: CRISTALES TOLERANCIA DE +/-10%",AZUCAR MASCABADO AZUCAR PRESENTAR FUMIGANTES OTROS OLORES EXTRANOS SABOR,INS-1D250EB1A2,,+/-10%,,,,,57,FALTA_EN_CATALOGO
"AZÚCAR MASCABADO, BOLSA CON 2KG CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR MASCABADO,INS-C93D694FD3,2 kg,+/-10%,AZUCAR,A GRANEL,ABARROTES,38.14,86,YA_EN_CATALOGO
"AZÚCAR MASCABADO, INDIVIDUAL CAJA CON 1000 SOBRES DE 4 GRAMOS CADA UNO CON TOLERANCIA DE +/- 10%",AZUCAR MASCABADO INDIVIDUAL SOBRES GRAMOS,INS-ECBDD6F091,4 gramos,+/-10%,AZUCAR,A GRANEL,ABARROTES,38.14,72,REVISAR
AZUCAR REFINADA BOLSA DE 1 KG CON TOLERENCIA DE +/- 10%,AZUCAR REFINADA TOLERENCIA,INS-938DCCFC7C,1 kg,+/-10%,AZUCAR,A GRANEL,ABARROTES,38.14,78,REVISAR
"AZÚCAR REFINADA INDIVIDUAL CAJA CON 2000 SOBRES DE 4GR CADA UNO CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F- 303-SCFI-2011",AZUCAR REFINADA INDIVIDUAL SOBRES,INS-B6D5B66415,4 gr,+/-10%,AZUCAR,A GRANEL,ABARROTES,38.14,74,REVISAR
"AZÚCAR REFINADA INDIVIDUAL, CAJA CON 1000 SOBRES DE 4G CADA UNO, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR REFINADA INDIVIDUAL SOBRES,INS-2852F8E35D,4 g,,AZUCAR,A GRANEL,ABARROTES,38.14,74,REVISAR
"AZÚCAR REFINADA, PRESENTACIÓN DE 50KG CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LA NORMA: NMX-F-303-SCFI-2011",AZUCAR REFINADA,INS-9DD9F8FFCE,50 kg,+/-10%,AZUCAR,A GRANEL,ABARROTES,38.14,88,YA_EN_CATALOGO
"BABY ARUGULA, ORGÁNICA, PRESENTACIÓN EN PAQUETE DE 0.250 GRS.",BABY ARUGULA ORGANICA,INS-779560D3D6,0.250 grs,,,,,,48,FALTA_EN_CATALOGO
"BABY ARUGULA, ORGÁNICA, PRESENTACIÓN EN PAQUETE DE 0.450 GRS.",BABY ARUGULA ORGANICA,INS-9B83D30DFA,0.450 grs,,,,,,48,FALTA_EN_CATALOGO
"BACALAO NORUEGO EN LONJA, PRESENTACIÓN EN KILOGRAMO.",BACALAO NORUEGO LONJA,INS-9A35BE6A70,,,,,,,36,FALTA_EN_CATALOGO
"BARQUILLOS DE GALLETA PARA HELADOS Y NIEVES, PRESENTACIÓN CAJA DE 125 GR CON 10 PIEZAS, TOLERANCIA DEL +/- 10%",BARQUILLOS GALLETA HELADOS NIEVES,INS-4AB346E888,125 gr,+/-10%,,,,,50,FALTA_EN_CATALOGO
"BARRITAS ENERGÉTICAS MINI SNACK. COMPOSICIÓN: CHOCOLATE CON LECHE COMBINADO CON AMARANTO SIN AZÚCAR. PRESENTACIÓN: CAJA CON 24 PIEZAS DE 15 GR CADA BARRITA, CON TOLERANCIA DEL +/-10%",BARRITAS ENERGETICAS MINI SNACK COMPOSICION CHOCOLATE LECHE COMBINADO AMARANTO,INS-682BB48103,24 piezas,+/-10%,,,,,43,FALTA_EN_CATALOGO
"BASE BLANCA PARA REPOSTERÍA TIPO WHIP TOPPING, EN PRESENTACIÓN DE 1 LT, CON TOLERANCIA DE +/- 10%",BASE BLANCA REPOSTERIA WHIP TOPPING,INS-77261D5E4A,1 lt,+/-10%,,,,,51,FALTA_EN_CATALOGO
BASE NEUTRA BASE FRAPPE BOLSA CON 1.36KG TOLERANCIA DE +/-10% DESCRIPCIÓN,BASE NEUTRA BASE FRAPPE,INS-AF59EB8A3F,1.36 kg,+/-10%,,,,,25,FALTA_EN_CATALOGO
"BASE PARA HELADO GRASA TIPO BUTIRICA MEZCLAYA, PRESENTACIÓN DE 20 LITROS CON TOLERANCIA DE +/-10%",BASE HELADO GRASA BUTIRICA MEZCLAYA,INS-E5CDDEB356,20 litros,+/-10%,,,,,42,FALTA_EN_CATALOGO
